"","t_start","t_end","Mean.R.","Std.R.","Quantile.0.025.R.","Quantile.0.05.R.","Quantile.0.25.R.","Median.R.","Quantile.0.75.R.","Quantile.0.95.R.","Quantile.0.975.R."
"1",2,8,3.57070059226016,0.841622200791328,2.11622347015383,2.3079232223565,5.05833977550165,3.50479863477352,5.05833977550165,5.05833977550165,5.39942435033766
"2",3,9,3.09176030015092,0.644676587390894,1.95991081601138,2.11308342265666,4.2229157839466,3.0470694666209,4.2229157839466,4.2229157839466,4.47744215213237
"3",4,10,2.49076984550036,0.498153969100071,1.61189491546069,1.73179499589302,3.36277873159864,2.45763945493315,3.36277873159864,3.36277873159864,3.55782537065581
"4",5,11,2.17125633232468,0.410328877707524,1.44278406453486,1.54319243019236,2.88731822122335,2.14546346345503,2.88731822122335,2.88731822122335,3.04624025501632
"5",6,12,2.01439123401079,0.356097425382942,1.37784211286524,1.46656825991295,2.63366737099538,1.99344729434282,2.63366737099538,2.63366737099538,2.76991545163949
"6",7,13,2.22265822029216,0.342963609211861,1.60189654294667,1.69017973307013,2.81523055073998,2.20504318156961,2.81523055073998,2.81523055073998,2.94349430598133
"7",8,14,2.30580317168193,0.322877025899482,1.71682191362612,1.8016343209672,2.86132423875378,2.29075019952128,2.86132423875378,2.86132423875378,2.98030786760762
"8",9,15,2.3257365623744,0.297780052992277,1.77900418651404,1.85854501077651,2.83624073823317,2.31304003967934,2.83624073823317,2.83624073823317,2.94460718487267
"9",10,16,2.08826523916284,0.257047681848866,1.61506418468452,1.68419598511651,2.52828086845651,2.07772796710104,2.52828086845651,2.52828086845651,2.62133720718416
"10",11,17,1.99170470382253,0.228464198140448,1.569236773171,1.63139203109212,2.38179377263492,1.98297600097605,2.38179377263492,2.38179377263492,2.46376884182119
"11",12,18,1.70080431952092,0.193824640697646,1.34224817135605,1.39503330749827,2.03167271577845,1.69344722356409,2.03167271577845,2.03167271577845,2.10116334025844
"12",13,19,1.40524977710048,0.163356968433209,1.10342332228613,1.14777228998852,1.68430342316559,1.39892491721966,1.68430342316559,1.68430342316559,1.74301371801296
"13",14,20,1.12668338987335,0.137646283706305,0.87316415165437,0.910230556587879,1.36224117069113,1.12108298470409,1.36224117069113,1.36224117069113,1.41202323038548
"14",15,21,0.898885439685847,0.118029440634692,0.682561400594334,0.713945672433162,1.10143036623119,0.893724742854585,1.10143036623119,1.10143036623119,1.14453085964312
"15",16,22,0.686762194547287,0.101257561377282,0.502796240606725,0.529117211792978,0.861362447917384,0.681792118881094,0.861362447917384,0.861362447917384,0.898964852459856
"16",17,23,0.526440735768275,0.0889847255393937,0.366685261289062,0.38910948006022,0.680847498970602,0.521435592077668,0.680847498970602,0.680847498970602,0.714629642860597
"17",18,24,0.396650950264684,0.0793301900529368,0.25669158115886,0.275785469310032,0.535516913306183,0.391374990735599,0.535516913306183,0.535516913306183,0.566577765784272
"18",19,25,0.33284891077259,0.076360777132911,0.200396787453918,0.21796264394112,0.467596140777359,0.327028020370971,0.467596140777359,0.467596140777359,0.498358211524551
"19",20,26,0.262676005893649,0.0728532160064332,0.139863910255575,0.155374439434777,0.392853573530187,0.255972293145794,0.392853573530187,0.392853573530187,0.423546572127319
"20",21,27,0.169363676692687,0.0640134528080567,0.0680929819933508,0.0794875920964945,0.286524524077628,0.161370608164515,0.286524524077628,0.286524524077628,0.315971505160915
"21",22,28,0.119917570535465,0.0599587852677324,0.0326735019539989,0.0409613956790378,0.232449913399035,0.11008615096521,0.232449913399035,0.232449913399035,0.262837521686127
"22",23,29,0.193159251656549,0.0863834434374066,0.0627182832379733,0.0761105232435705,0.35361737704186,0.18044585287136,0.35361737704186,0.35361737704186,0.395651520863033
"23",24,30,0.259121724021871,0.115882757871969,0.0841361184667058,0.102101710531306,0.474375126209865,0.242066792491833,0.474375126209865,0.474375126209865,0.530763622858695
"24",25,31,0.354219668007201,0.158411851326302,0.115014162024391,0.139573145184515,0.648471294142631,0.330905558751176,0.648471294142631,0.648471294142631,0.725554428093561
"25",26,32,0.478758983041523,0.214107526183903,0.15545173862297,0.188645360728775,0.876465892088847,0.447247917321404,0.876465892088847,0.876465892088847,0.98065051579317
